trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.2, 'e': 0.05726876026546736}",30,13,23.93810925871083,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.056134762834133725}",20,0,30.80336115543593,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.2, 'e': 0.05502322005640723}",25,0,20.68271175456026,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.2, 'e': 0.05393368730035602}",20,0,-27.712681670463137,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.2, 'e': 0.05286572873835037}",35,22,-19.48496079246459,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.2, 'e': 0.05181891717272583}",30,14,28.582709772944998,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.0507928338648985}",20,11,4.566978490718647,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.049787068367863944}",25,0,-56.760335404001665,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
151,False,"{'a': 0.2, 'e': 0.04880121836201296}",30,13,30.9046644651267,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.04783488949419837}",20,0,-17.216510626835998,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
153,False,"{'a': 0.2, 'e': 0.046887695219988486}",35,11,45.558391502941056,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.045959256649044204}",20,8,17.632007886999233,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.0450492023935578}",20,3,26.611377236192546,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.04415716841969286}",20,0,3.799200927410539,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.2, 'e': 0.043282797901965896}",30,0,15.064045257607226,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
158,False,"{'a': 0.2, 'e': 0.042425741080511385}",20,0,-14.319333029245556,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
159,False,"{'a': 0.2, 'e': 0.04158565512117316}",20,10,18.92401196656777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.04076220397836621}",20,3,17.90011488323357,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.039955058260653896}",30,16,17.432930032023577,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.039163895098987066}",20,11,15.104077019438426,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.038388398017552054}",20,11,-6.565081298685769,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.0376282568071762}",20,7,9.360046533833597,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.036883167401239994}",20,10,15.301139300460221,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.03615283175404641}",20,0,-8.82729826991894,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.2, 'e': 0.03543695772159864}",25,16,-30.013630665835752,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.2, 'e': 0.03473525894473856}",20,0,29.701837821359266,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.2, 'e': 0.034047454734599344}",20,0,25.10481175630452,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.2, 'e': 0.03337326996032608}",35,18,26.626687206615422,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.03271243493901982}",30,8,-6.819655632358403,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.2, 'e': 0.03206468532786077}",25,18,4.160294972990094,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.03142976201836771}",20,0,32.18259255091427,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.2, 'e': 0.030807411032751076}",20,8,-31.596241119224647,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.2, 'e': 0.0301973834223185}",30,22,12.864661105161078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.029599435167892}",20,0,-29.834370083851926,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
177,False,"{'a': 0.2, 'e': 0.029013327082197053}",25,12,26.135100914189852,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.028438824714184505}",20,0,25.692304701882776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.2, 'e': 0.027875698255247015}",25,17,15.264202824921863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.02732372244729256}",25,8,22.788789233969222,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.026782676492638175}",25,18,10.156061140209443,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.02625234396568796}",20,9,16.088281107775828,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.02573251272635994}",20,16,9.66541145970302,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.2, 'e': 0.025222974835227212}",25,16,10.262285080145555,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.024723526470339388}",30,0,39.376796494326726,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.2, 'e': 0.024233967845691113}",20,3,-20.206349194358523,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.2, 'e': 0.023754103131304997}",25,9,25.197763545008453,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.2, 'e': 0.023283740374897}",20,13,4.3512446781280785,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.02282269142509297}",25,6,19.44803859651715,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.2, 'e': 0.02237077185616559}",25,16,7.939406396171891,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.02192780089426161}",20,9,20.69464098599167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.2, 'e': 0.021493601345089923}",20,10,22.210850162390287,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.2, 'e': 0.021067999523041434}",25,5,29.78740983070552,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.2, 'e': 0.020650825181712566}",25,8,26.457099318036875,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.2, 'e': 0.02024191144580439}",30,15,11.901766158641198,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.2, 'e': 0.019841094744370288}",30,12,30.652050977936625,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.2, 'e': 0.01944821474538539}",20,10,16.466668492828468,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.2, 'e': 0.019063114291611637}",25,3,16.875379998959758,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.2, 'e': 0.018685639337732773}",25,11,26.08455075570416,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
